titles,dates,creators,contributors,descriptions,coverage,subjects,types,formats,identifiers,languages,publishers,relations,rights,sources,,,,,,,,,,,
The Religious Significance of Giving,2/25/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 25, 1940",,,Text,,ist0252,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
How Christian Is Our Christianity?,3/6/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 6, 1940 (Lenten Dinner)",,,Text,,ist0253,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
He Went to Jerusalem,3/17/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 17, 1940 (Palm Sunday)",,,Text,,ist0254,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Jesus in Conflict with the Religious Authorities of His Day,3/19/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 19, 1940 (Lenten service)",,,Text,,ist0255,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Father Frogive Them For They Know Not What They Do,3/22/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Sixth Avenue Community on March 22, 1940 (Good Friday Service)",,,Text,,ist0256,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
It Is Finished,3/22/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at University Park Church on March 22, 1940 (Good Friday Service)",,,Text,,ist0257,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Religious Significance of Easter,3/24/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 24, 1940 (Easter Sunday)",,,Text,,ist0258,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Good Friday Meditation,3/22/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 22, 1940 (Good Friday Night Service)",,,Text,,ist0259,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
It Makes a Difference What We Do with Life,3/31/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 31, 1940",,,Text,,ist0260,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Ever Present God We Sometimes Fail to See,4/7/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 7, 1940",,,Text,,ist0261,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Possessing One's Own Soul,4/14/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 14, 1940",,Luke 18,Text,,ist0262,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Problem of Handling Our Virtues,4/21/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 21, 1940",,,Text,,ist0263,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Possessing One's Own Soul,4/25/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Iliff School of Theology on April 25, 1940",,Mark 8,Text,,ist0264,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Human Nature Being What It Is,4/28/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 28, 1940",,,Text,,ist0265,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Mothers Day and Pentecost,5/12/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on May 12, 1940",,,Text,,ist0266,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Communion Meditation,5/26/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on May 26, 1940",,,Text,,ist0268,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Far-Reaching Influence of Our Thoughts,6/2/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on June 2, 1940",,,Text,,ist0269,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Courage to Try Again,6/21/40,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on June 21, 1940",,,Text,,ist0270,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
